DriverNumber,Abbreviation,TeamName,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,TrackStatus,PitOutTime,PitInTime,IsPersonalBest,LapTimeSeconds
63,RUS,Mercedes,1.0,0 days 00:01:38.651000,,0 days 00:00:38.881000,0 days 00:00:25.997000,1.0,SOFT,4.0,False,1,,,False,98.651
63,RUS,Mercedes,2.0,0 days 00:01:34.115000,0 days 00:00:29.665000,0 days 00:00:38.479000,0 days 00:00:25.971000,1.0,SOFT,5.0,False,1,,,True,94.115
63,RUS,Mercedes,3.0,0 days 00:01:33.096000,0 days 00:00:29.375000,0 days 00:00:38.040000,0 days 00:00:25.681000,1.0,SOFT,6.0,False,1,,,True,93.096
63,RUS,Mercedes,4.0,0 days 00:01:33.084000,0 days 00:00:29.281000,0 days 00:00:38.196000,0 days 00:00:25.607000,1.0,SOFT,7.0,False,1,,,True,93.084
63,RUS,Mercedes,5.0,0 days 00:01:34.211000,0 days 00:00:29.258000,0 days 00:00:38.446000,0 days 00:00:26.507000,1.0,SOFT,8.0,False,1,,,False,94.211
63,RUS,Mercedes,6.0,0 days 00:01:33.839000,0 days 00:00:29.700000,0 days 00:00:38.333000,0 days 00:00:25.806000,1.0,SOFT,9.0,False,1,,,False,93.839
63,RUS,Mercedes,7.0,0 days 00:01:33.432000,0 days 00:00:29.580000,0 days 00:00:38.128000,0 days 00:00:25.724000,1.0,SOFT,10.0,False,1,,,False,93.432
63,RUS,Mercedes,8.0,0 days 00:01:33.136000,0 days 00:00:29.445000,0 days 00:00:37.966000,0 days 00:00:25.725000,1.0,SOFT,11.0,False,1,,,False,93.136
63,RUS,Mercedes,9.0,0 days 00:01:33.154000,0 days 00:00:29.471000,0 days 00:00:37.931000,0 days 00:00:25.752000,1.0,SOFT,12.0,False,1,,,False,93.154
63,RUS,Mercedes,10.0,0 days 00:01:33.424000,0 days 00:00:29.644000,0 days 00:00:37.983000,0 days 00:00:25.797000,1.0,SOFT,13.0,False,1,,,False,93.424
63,RUS,Mercedes,11.0,0 days 00:01:33.089000,0 days 00:00:29.499000,0 days 00:00:37.901000,0 days 00:00:25.689000,1.0,SOFT,14.0,False,1,,,False,93.089
63,RUS,Mercedes,12.0,0 days 00:01:33.354000,0 days 00:00:29.964000,0 days 00:00:37.724000,0 days 00:00:25.666000,1.0,SOFT,15.0,False,1,,,False,93.354
63,RUS,Mercedes,13.0,0 days 00:01:33.159000,0 days 00:00:29.716000,0 days 00:00:37.705000,0 days 00:00:25.738000,1.0,SOFT,16.0,False,1,,,False,93.159
63,RUS,Mercedes,14.0,0 days 00:01:33.729000,0 days 00:00:29.785000,0 days 00:00:38.226000,0 days 00:00:25.718000,1.0,SOFT,17.0,False,1,,,False,93.729
63,RUS,Mercedes,15.0,0 days 00:01:33.270000,0 days 00:00:29.856000,0 days 00:00:37.796000,0 days 00:00:25.618000,1.0,SOFT,18.0,False,1,,,False,93.27
63,RUS,Mercedes,16.0,0 days 00:01:33.309000,0 days 00:00:29.612000,0 days 00:00:37.895000,0 days 00:00:25.802000,1.0,SOFT,19.0,False,1,,,False,93.309
63,RUS,Mercedes,17.0,0 days 00:01:33.174000,0 days 00:00:29.733000,0 days 00:00:37.811000,0 days 00:00:25.630000,1.0,SOFT,20.0,False,1,,,False,93.174
63,RUS,Mercedes,18.0,0 days 00:01:33.072000,0 days 00:00:29.740000,0 days 00:00:37.844000,0 days 00:00:25.488000,1.0,SOFT,21.0,False,1,,,True,93.072
63,RUS,Mercedes,19.0,0 days 00:01:32.807000,0 days 00:00:29.856000,0 days 00:00:37.379000,0 days 00:00:25.572000,1.0,SOFT,22.0,False,1,,,True,92.807
63,RUS,Mercedes,20.0,0 days 00:01:32.803000,0 days 00:00:29.746000,0 days 00:00:37.397000,0 days 00:00:25.660000,1.0,SOFT,23.0,False,1,,,True,92.803
63,RUS,Mercedes,21.0,0 days 00:01:32.850000,0 days 00:00:29.774000,0 days 00:00:37.425000,0 days 00:00:25.651000,1.0,SOFT,24.0,False,1,,,False,92.85
63,RUS,Mercedes,22.0,0 days 00:01:32.568000,0 days 00:00:29.654000,0 days 00:00:37.288000,0 days 00:00:25.626000,1.0,SOFT,25.0,False,1,,,True,92.568
63,RUS,Mercedes,23.0,0 days 00:01:32.683000,0 days 00:00:29.682000,0 days 00:00:37.421000,0 days 00:00:25.580000,1.0,SOFT,26.0,False,1,,,False,92.683
