Abbreviation,Stint,avg_lap,median_lap,std_lap,laps,compound
HAM,1.0,94.37848484848486,93.201,5.420920016019029,33,MEDIUM
HAM,2.0,103.19355555555555,91.4765,22.938817014531157,18,SOFT
VER,1.0,93.50651515151516,92.594,4.587634045188844,33,MEDIUM
VER,2.0,102.93066666666667,91.18299999999999,23.14614278118623,18,SOFT
